2x2
16, 1, 1, 5, 8, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
16, 1, 5, 5, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, 5, 1, 1, 1, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 5, 5, 1, 1, 1, 5, 8, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, 5, 1, 5, 5, 5, 8, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, 1, 1, 1, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, 16, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, 1, 16, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
